,LSTM,RNN,GRU,BILSTM,AveragePooling,MaxPooling
Accuracy,0.9872695346795435,0.7304653204565408,0.9881474978050921,0.985513608428446,0.9297629499561019,0.897278314310799
Precision,0.9912826899128269,0.6363636363636364,0.9925280199252802,0.9887920298879203,0.9061728395061729,0.8552311435523114
Recall,0.9731051344743277,0.5819070904645477,0.9743276283618582,0.9706601466992665,0.8973105134474327,0.8594132029339854
F1_score,0.9821098087600247,0.6079182630906769,0.9833436150524366,0.9796421961752004,0.9017199017199017,0.8573170731707318
