,LSTM,RNN,GRU,BILSTM,CNN_LSTM
Accuracy,0.9490781387181738,0.7857769973661106,0.9732221246707639,0.9719051799824407,0.9609306409130817
Precision,0.9228915662650602,0.7142857142857143,0.9587878787878787,0.9642857142857143,0.947239263803681
Recall,0.9364303178484108,0.6723716381418093,0.9669926650366748,0.9572127139364304,0.9437652811735942
F1_score,0.9296116504854369,0.6926952141057935,0.9628727936701157,0.9607361963190184,0.945499081445193
